pref_num,name,2015年,2020年,2025年,2030年,2035年,2040年,2045年,rate,rate2
3303,岩手町,13692,12380,11082,9858,8719,7629,6563,72.0,47.9
3321,紫波町,32614,31591,30337,28882,27295,25516,23633,88.6,72.5
3322,矢巾町,27678,27446,27191,26746,26115,25247,24198,96.6,87.4
3366,西和賀町,5880,5181,4509,3909,3366,2883,2431,66.5,41.3
3381,金ケ崎町,15895,15327,14638,13894,13148,12349,11474,87.4,72.2
3402,平泉町,7868,7320,6730,6159,5607,5045,4483,78.3,57.0
3441,住田町,5720,5133,4569,4057,3594,3153,2730,70.9,47.7
3461,大槌町,11759,10841,9911,8959,8011,7094,6220,76.2,52.9
3482,山田町,15826,14474,13112,11749,10448,9208,8037,74.2,50.8
3483,岩泉町,9841,8940,8048,7216,6447,5720,5014,73.3,51.0
3484,田野畑村,3466,3135,2811,2502,2200,1909,1632,72.2,47.1
3485,普代村,2795,2536,2271,2017,1781,1547,1319,72.2,47.2
3501,軽米町,9333,8441,7554,6709,5926,5177,4438,71.9,47.6
3503,野田村,4149,3872,3485,3121,2762,2426,2100,75.2,50.6
3506,九戸村,5865,5289,4712,4141,3602,3097,2610,70.6,44.5
3507,洋野町,16693,15254,13813,12408,11061,9744,8450,74.3,50.6
3524,一戸町,12919,11663,10451,9336,8297,7285,6299,72.3,48.8
4000,宮城県,2333899,2296113,2227471,2143601,2046219,1933258,1809021,91.8,77.5
4100,仙台市,1082159,1084620,1071693,1048353,1015478,972871,922655,96.9,85.3
4101,青葉区,310183,310562,307315,301221,292668,281598,268248,97.1,86.5
4102,宮城野区,194825,193762,190533,185368,178529,170251,160889,95.1,82.6
4103,若林区,133498,136968,133991,130285,125520,119502,112523,97.6,84.3
4104,太白区,226855,226688,224125,219480,213030,204526,194426,96.7,85.7
4105,泉区,216798,216640,215729,211999,205731,196994,186569,97.8,86.1
4202,石巻市,147214,140825,129470,118309,107494,96913,86697,80.4,58.9
4203,塩竈市,54187,51601,48713,45624,42409,39052,35625,84.2,65.7
4205,気仙沼市,64988,59609,54195,48797,43466,38305,33396,75.1,51.4
4206,白石市,35272,33069,30732,28348,25888,23303,20676,80.4,58.6
4207,名取市,76668,79508,81021,81412,80769,79081,76595,106.2,99.9
4208,角田市,30180,28672,26970,25142,23282,21250,19074,83.3,63.2
4209,多賀城市,62096,60572,58416,55774,52741,49378,45821,89.8,73.8
4211,岩沼市,44678,44592,43914,42809,41369,39497,37355,95.8,83.6
4212,登米市,81959,77147,72216,67400,62595,57440,52047,82.2,63.5
4213,栗原市,69906,64270,58577,53192,48036,42772,37496,76.1,53.6
4214,東松島市,39503,38560,37256,35669,33841,31821,29655,90.3,75.1
4215,大崎市,133391,130569,126779,122468,117643,112021,105734,91.8,79.3
4216,富谷市,51591,54204,56398,57627,58051,57720,56822,111.7,110.1
4301,蔵王町,12316,11669,10944,10194,9432,8602,7703,82.8,62.5
4302,七ヶ宿町,1461,1244,1069,933,822,710,607,63.9,41.5
4321,大河原町,23798,23711,23338,22793,22079,21171,20110,95.8,84.5
4322,村田町,11501,10880,10229,9563,8857,8098,7293,83.1,63.4
4323,柴田町,39525,39137,38188,36839,35201,33306,31280,93.2,79.1
4324,川崎町,9167,8475,7816,7161,6497,5796,5069,78.1,55.3
4341,丸森町,13972,12486,11073,9778,8566,7389,6231,70.0,44.6
4361,亘理町,33589,32894,31046,29004,26834,24502,22154,86.3,66.0
